cmnt,sentiment_scores,Compound,Sentiment,cleaned_comment
i was corona positive too and i was  years old when i caught the virus im gonna go test myself now,"{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.5574}",0.5574,Positive,Save the children
Looks like we lived through one of these videos Wow,"{'neg': 0.0, 'neu': 0.559, 'pos': 0.441, 'compound': 0.743}",0.743,Positive,i noo this 
We are part of world history that has gone through the Covid virus pandemic greetings from Indonesia ,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.4215}",0.4215,Positive,Maybe
"Duuuude I remember when I watched the Ebola and the Cholera videos a few years ago And now Ive lived through one of these types of videos myself I feel like Im already getting OLD 

Edit Also never gotten COVID ever before","{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.3612}",0.3612,Positive, anyone
I once got diagnosed with Coronavirus I was dying luckily the Lord saved me,"{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.7269}",0.7269,Positive,Sure
My grandma got coronavirus  times and survived shes still alive thanks to god,"{'neg': 0.0, 'neu': 0.452, 'pos': 0.548, 'compound': 0.872}",0.872,Positive,Why
when i was watching the Ebola video i wouldve never in my wildest dreams imagined that i would be experiencing such a video in real time,"{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.4019}",0.4019,Positive,Nice video
Before Me and my dad got Coronavirus when i was  years old or  years old Idk when i got coronavirus before,"{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.1027}",-0.1027,Negative,Great
Compred to the cholara and Ebola video this is much less scary more lhigt,"{'neg': 0.183, 'neu': 0.817, 'pos': 0.0, 'compound': -0.4417}",-0.4417,Negative,Eating healthy diet is very helpful water I also add naturekindness c o m to my diet as it contains elderberry turmeric and probiotics
I remember watching the Ebola and cholera ones a few years back  Who knew I would be living through one ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,this is important news to watch and stay informed
The coronavirus spreads since ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Anyone haha
My entire family was infected by coronavirus because we didnt isolate ourselves Surprisingly though I was the only one who wasnt infected,"{'neg': 0.308, 'neu': 0.632, 'pos': 0.059, 'compound': -0.7715}",-0.7715,Negative,Life after corona is a mess
my classmate as positive for covid,"{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.5574}",0.5574,Positive,Thanks for the info
I just waiting the Legendary Old Lady Nurse coming,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Taiwan government Betel nut stallsDevelopment glasses Need to interpret Professional soldiers Jewelry merchants To the world To humans To life To the environment Will it help
IM APART OF HISTORY AND I SURVIVED IT,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.5106}",0.5106,Positive,i hope Qoronavirus leave us alone whoever see this comment i wish youyour family and the ones you love a healthy life
"and everything was great










until karen walked in","{'neg': 0.0, 'neu': 0.631, 'pos': 0.369, 'compound': 0.6249}",0.6249,Positive,Coronavirus whistleblower speaks out about possible COVID origin on Tucker
 year anniversary of Corona Virus Its crazy how we survive even if there are many diseases that could be deadly,"{'neg': 0.112, 'neu': 0.888, 'pos': 0.0, 'compound': -0.34}",-0.34,Negative,Who would take advice from none other than Johns Hopkins Id rather take advice from a Yanomami witch doctor
My grandmother got covid in  and it was not easy she went into quarantine and after that she got admitted to a hospital after that they sent her home after testing her they said theyll call to say the results She got home and my mom gave her food after she ate they called and said she was still positive  then she went into quarantine Now shes ok,"{'neg': 0.033, 'neu': 0.868, 'pos': 0.099, 'compound': 0.5851}",0.5851,Positive,The Rebirth is coming save urself from the concrete jungle
Its already  and now the Corona virus no longer exists or is rare actually it still exists but we rarely find it Thank you Corona virus you have taught me how important it is to use a mask Now we know that masks are important not only to cover pollution and dust but also to stop the spread of the Corona virus,"{'neg': 0.105, 'neu': 0.83, 'pos': 0.065, 'compound': -0.395}",-0.395,Negative,A cool video
Thiz feels so weird my whole family caught corona and i even saw some videos of cholera and ebola who woiulhave thought that i would be living in this video,"{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.3052}",-0.3052,Negative,Anybody watching this in 
The nurse is always the same,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,People r haters y dislikes
we cant forget the high rate of sanitizer,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.1695}",0.1695,Positive,Great videokeep it up
My teachers kept thinking I had covid so I kept having to get tested multiple times,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Die coronavirus 
My grandfather died of coronavirus and  other diseases thank you for telling us how to be safe and how it spreads ,"{'neg': 0.133, 'neu': 0.667, 'pos': 0.2, 'compound': 0.2023}",0.2023,Positive,i dont like corona virus
Its crazy cause I watched the cholera and Ebola ones a years ago and actually had covid didnt think Id ever live through one of these incidents ,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.34}",-0.34,Negative,who else has to do this for a presentation
mas bien no sufri de covid,"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative,Go ask James Lie ber if you want details by hiim
life was very different back then during covid the social distancing the mandatory face masks the quarantine and all it all feels like a reset ,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.4215}",0.4215,Positive,To help stop the Virus we should take a test to see if we have the virus and all if we get the virus we dont travel and dont touch stuff
we must still remain strong and use n masks to protect ourselves as covid  has not left us and it can keep making people sick over and over and it can damage your immune system according to new research,"{'neg': 0.137, 'neu': 0.693, 'pos': 0.17, 'compound': 0.1531}",0.1531,Positive,I been watching the news for quite sometime now and it seems much of the same information gets posted The information about surges in cases for Covid cases and how the death rates are rising as well in the process Overall I have come to the conclusion that people are not fully following the CDC guidelines by using masks and gloves and washing their hands with soap and water for seconds and practicing social distancing The overall result is that we have who have died world wide due to poor planning by many heads of state irresponsibility of the general population which did not do their part in acting responsibility and the failure to have contained this virus and isolate it before it became a pandemic There is a lot of horrible diseases out there like AIDS Ebola Swine Flu Bubonic Plague not just the King Virus or hence the Coronavirus or Covid Our scientists and doctors are not doing enough to help us resolve many of the problems which harm and kill us I also am angry at big pharma industry in relation to be driven by market factors in the development of medicines and not by distribution to the masses for the common good When there is money involved there is also corruption in regards to who gets access to certain medicines I think this is a big problem everywhere and there is a ethical and moral issue involved in regards to the development of the vaccines A vaccine for Covid cannot be developed for the purposes of going to the highest bidder We must criminalize those who exploit situations of a global pandemic or any form of biological warfare in this world for profit It is immoral and unethical and downright criminal and corrupt How do we resolve the Covid crisis The obvious answer is in front of us and that this virus must be destroyed and eradicated We must make this virus extinct and eliminate its existence from the face of the earth and it should be a goal The dinosaurs went extinct for a good reason I have no reason to believe allowing the existence of such a horrible super virus that kills millions and spreads and mutates fast has any value for existence in the world We must focus our energy and destroy Covid and all deadly diseases The failure to not do so will result in the deaths of millions or billions of people world wide The responsibility of intellectual and activists must be in place so we are able to build a better future for our world
I am a corona victim but now Im fine  my mother father aunt and cousins and my grandfather we were Quarantined again since we were going to the islands  except my family he stayed home  corona viruse is evolving we will  be prepared,"{'neg': 0.035, 'neu': 0.862, 'pos': 0.103, 'compound': 0.4588}",0.4588,Positive,Im scared 
Me who got infected with corona two times,"{'neg': 0.314, 'neu': 0.686, 'pos': 0.0, 'compound': -0.4939}",-0.4939,Negative,Coronavirus is not a joke dont make it a meme its serious
My mother tested positive for Covid we took strict measures and stuff All of this couldve Happened to my mother,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.5574}",0.5574,Positive,Amazing information 
The legendary nurse ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,When vaccine for Carina virus coming
I had Corona back in January through February It was the sickest i have ever been it was a living nightmare ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Vaccine neem tree to viruses
Guyswe are MalaysiaPlease wear mask,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Need tree to
How does the boy can stand with his hands on HOW,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,How dare you not make the coronavirus go away
Both my mom and dad tested positive in November of  by far it was the worst most brutal thing I ever went through they got super sick within days we had to take them to the emergency room watching them enter was so painful I felt so hopeless knowing I cant do anything to help them I told myself why couldnt it have been me I want to take their pain after the emergency room they got worse and worse lying around in their bed crying coughing and felting all sorts of pain it was so brutal but I assisted them in the best way I could I made them food every  hrs Id clean the house so they can at least be in a clean environment I was crying and had endless panic attacks and I prayed and prayed for them to get better luckily I saw the light at the end of the tunnel my dad felt better and for the first time in weeks he got up and walked I was so happy yet he still had horrible coughs but i was glad we got up and walked my mom took a little longer but as the days went by she got better by mid December of  we were all okay and I couldnt have been more happy the power of prayer is so real because I was so scared they wouldnt survive thismy dad has a weak body due to diabetes here we are now smiling and saying thanks to God everyday it breaks my heart other families couldnt get a happy ending but to everyone going through it please pray no matter how bad a situation may seem God has our backs  never doubt that,"{'neg': 0.176, 'neu': 0.595, 'pos': 0.229, 'compound': 0.9795}",0.9795,Positive,Thank you so much for your conversation and you teach us a lot of Corona virus and to so so so invisible and I all this to my god to take away Corner from our location remember stay home status
yay,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",0.5267,Positive,Oooooo
i would just hold my cough from now on,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Everyone used to say that one day we will live on Mars and I think that this is the very right time fot that
I cant believe that coronavirus was   years ago like how time passed,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}",0.3612,Positive,CORONAVIRUS
When i get covid its only one symtom which is loss of taste that usally last like  weeks,"{'neg': 0.116, 'neu': 0.758, 'pos': 0.126, 'compound': 0.0516}",0.0516,Positive,We will have Covid and the Flu season running together in Fall but wait until disease starts to pop up through many states and many countries Many forget legionellosis and it will spawn together with other pulmonary diseases 
Its pretty wild that some kids will have to watch this at school in order to understand wtf happened in ,"{'neg': 0.152, 'neu': 0.72, 'pos': 0.128, 'compound': -0.1531}",-0.1531,Negative,Fake news virus its gone
I got corona  times and it was so bad thankfully i got like  the virus was weak yk,"{'neg': 0.296, 'neu': 0.481, 'pos': 0.223, 'compound': -0.4239}",-0.4239,Negative,Really really useful information mam thanks so much
Im so lucky i did not get covid,"{'neg': 0.0, 'neu': 0.66, 'pos': 0.34, 'compound': 0.4754}",0.4754,Positive,Corona virus
"Its not corona virus anymore now its a deadly virus 
Than can kill u if u get it","{'neg': 0.251, 'neu': 0.749, 'pos': 0.0, 'compound': -0.6908}",-0.6908,Negative,But why more animals not die or infected from corona we hear a lot deaths about human generations
Before On My Litteral Birthday I Caught It And I Even Got Diabetes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Is the Corona virus is related to rhino viruses Reply plz mam
Legend me watching in ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,This video helped me a lot in preparing my project
i had covid last week its so bad,"{'neg': 0.428, 'neu': 0.572, 'pos': 0.0, 'compound': -0.6696}",-0.6696,Negative,Lets hope this virus dies
What started as a two week holiday at school became a two year holiday,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.6597}",0.6597,Positive,Let Americas enemies know that all good things come to an end and like most viruses this one is losing its touch meaning its losing potency researchers in italy have just discovered this prognosis so its only a matter of time before it burns itself out maybe donald trump was right after all when he mentioned that the virus cant thrive in warmer summer weather
Whos watching in ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Made with G
Even though i never get it it changed my life completely,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,No thats wrong its a bacteria
I SURVIVED,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",0.5106,Positive,COVID China Organized Virus In Dec 
Ive had corona virus  times luckily it wasnt bad for me My smell almost dissapeared for a year but its back now ,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4723}",0.4723,Positive,This didnt jump from animals to humans It was mutated in a lab The Chinese were doing increase in function tests of bat coronaviruses as early as 
I cant belive I saw this only now,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,MwMs see this interesting topic
This is real in  carefully,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.128}",0.128,Positive,I imagine the struggle anyway but doctors trust God more than you sanity
This will be a legendary video,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Thanks forgiving information
the fact that in italylike half of my class got coronavirusand i had those people around for hoursand  I  didnt get anything made me think if the coronavirus aim at people with poor protection or any other fisical problems,"{'neg': 0.142, 'neu': 0.858, 'pos': 0.0, 'compound': -0.7003}",-0.7003,Negative,I think we want to wear cloths like astronauts for personal protection for some period of time in public
The first time I knew something was happening in Melbourne Australia was when the Asian community started to wear masks We had no idea what was going on then a month laterBANG All the COVID information hit us  we were on some of the longest lockdowns in the world People hated it but couldnt deny it worked No one in my immediate family got COVID because were all homebodys  dont go out much anyway,"{'neg': 0.09, 'neu': 0.877, 'pos': 0.033, 'compound': -0.534}",-0.534,Negative,Whole countries should be one and then planning
i survived this virus but my dad couldnt,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.2846}",0.2846,Positive,i hope this ends soon so i can go see my family
My parents almost died from Covid,"{'neg': 0.398, 'neu': 0.602, 'pos': 0.0, 'compound': -0.5118}",-0.5118,Negative,I had it I couldnt even get to my bathroom without gasping for air Felt like something was sat on my chest for a few days and I had diapram pain from fighting to breathe it lasted even when it went because I was that bad Wouldnt wish it on anyone
 is really bad year,"{'neg': 0.558, 'neu': 0.442, 'pos': 0.0, 'compound': -0.5849}",-0.5849,Negative,A professor who was on the verge of an important discovery in the Covid study has been killed in the United States According to CNN University of Pittsburgh professor Bing Liu was found with gunshot wounds to the head neck waist and limbs
I remember my dad first tested positive for it and had to be quarantined then my mom sis and brother got it except me i felt like a true survivor but eventually i got sick too and my parents had to touch me to take care of me so i got it too but in the end we all got better,"{'neg': 0.064, 'neu': 0.707, 'pos': 0.229, 'compound': 0.8555}",0.8555,Positive,Corona virus u are bad
i was also affected,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.1531}",-0.1531,Negative,its the common cold remember the cold virus dont hear anything about that anymore did it disappear where did it go its all coronavirus this coronavirus that or the flu nope coronavirus what a JOKE
I remember covid and honestly i never thought id ever live through sum likr that too bad it came back with worse symptoms it isnt as bas as before though clearly,"{'neg': 0.177, 'neu': 0.67, 'pos': 0.153, 'compound': -0.2263}",-0.2263,Negative,Wait a second i just had one of those outside the box moment What if in theory covid was actually an ancient virus frozen for milenia in some mamoth or something and global warming causeed it to thaw out unleashing it upon the world And what if scientist are looking at this thing the wrong way What if they need instead of looking at it from an evolution of pathology they should be looking at it from a de evolution point of view Just a theory i pulled from thin air but what if
So crazy that this is gonna be in the history books,"{'neg': 0.212, 'neu': 0.788, 'pos': 0.0, 'compound': -0.4005}",-0.4005,Negative,i wish coronavirs was gone
 years ago from now on  my mom had serious coronavirus She almost died but all thanks to the wonderful health workers she is healthy now,"{'neg': 0.092, 'neu': 0.559, 'pos': 0.348, 'compound': 0.9031}",0.9031,Positive,Quick thing The virus does effect kids but it wont kill them One of my moms students my mom is a teacher has it
me knowing that i had to sleep next to people with corona and coughing on me and i still never got corona,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Keep waiting nothing will come from my side
I remember watching the Ebola video and now corona virus ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,I dont have the solution of this corona virus and cancerous cells I m not a doctor
Give the little brother an oscar for that handstand,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Wow this is one of the most informative videos that did not tell anything about the virus itself It may We think We dont know yet etc Without even isolating the virus how can you diagnose it as A CORONA Virus at all
Wait until our grandchildren ask us about this,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,V Good Aunty
"im a junior year high school student and just last year i tested positive for covid I remember watching these videos when i was younger like th or th grade and being so scared to be in a similar situation In the end i was just like them Bedridden tired sick it wasnt life threatening but still very scary for my little twelve year old self Im really proud of where I am now despite all the hardships ive been through 
For the people whove lost someone please remember that theyre always watching over you You arent alone you never will be You are loved and you are cherished ","{'neg': 0.11, 'neu': 0.681, 'pos': 0.21, 'compound': 0.9182}",0.9182,Positive,Cant wait to hear that Coronavirus is finally gone
"Virus corona sudah  tahun sekarang tapi dia masih ada tetapi video ini mengajari kita untuk lebih hati hati dalam perbuatan kita dan menjaga kesehatan 

Translate

The corona virus is  years old now but it is still around but this video teaches us to be more careful in our actions and take care of our health","{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.7677}",0.7677,Positive,This is what the future kids will be watching
and now its nipah virus ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Why was i made to watch this for school
ebola chlorea now corona damn,"{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negative,Same 
Mercii ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,YeeT
I got sick with it once and had the best days ever I missed school for lots of days and got to stay home,"{'neg': 0.192, 'neu': 0.662, 'pos': 0.146, 'compound': -0.0772}",-0.0772,Negative,Thanks for taking the time to explain Love it I just created a video on my channel explaining the fear behind these and how to overcome it
I just finished my vaccine and its  maybe not a lot of people were wearing face mask in my country,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Im just a year old boy or man seeing how you look at it I really dont mean to be rude but is any of this true i mean there is so much fake news out there some times its hard to tell
Just follow the rules People have to help each other i was so upset when people didnt want to self isolate and people spitting on each other causing riots Im so glad everything is under control now days,"{'neg': 0.208, 'neu': 0.664, 'pos': 0.128, 'compound': -0.401}",-0.401,Negative,And now I will put every single detail in my project presentation 
One day my mother got sickbut she got better after a couple of weeks or two days,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}",0.4404,Positive,The virus can speed ft
I had corona ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Thank you for sharing well said for sure
This is super informative Thank you so very much I understand Corona virus is over now but these tips are helpful,"{'neg': 0.0, 'neu': 0.683, 'pos': 0.317, 'compound': 0.7845}",0.7845,Positive,im really sad because my grandma is in the ICU right now fighting for her life she probably has corona the test results arent back yet
Thank God always ,"{'neg': 0.0, 'neu': 0.179, 'pos': 0.821, 'compound': 0.5574}",0.5574,Positive,great video i too made video on covid have a look
I got covid and Im asthmatic and it hit me hard  it start off with sore throat and lack of energy and  then it felt like asthma attack but the inhaler did not work and my body Start shaking violently,"{'neg': 0.288, 'neu': 0.643, 'pos': 0.068, 'compound': -0.8625}",-0.8625,Negative,d
Great Story,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,Positive,How does covid die Can it only survive when its attached to a person and die if they become immune
As a china person i am sorry,"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.0772}",-0.0772,Negative,Wat is belangrijker mensen genezen van covid nu of eerst maanden wachten
Nice,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,Positive,Er was iemand met een faxen dat werkte en hij ligt dat niet verder doen dat is toch belachelijk gemeente willen juli willen allen geld opleveren met juli faxen
i never got sick somehow,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4023}",0.4023,Positive,Thats sad
Her mother keeps getting infected Wow She still survives How strong,"{'neg': 0.175, 'neu': 0.437, 'pos': 0.388, 'compound': 0.5994}",0.5994,Positive,Im not worries
I always watch this channel,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,we shud study d blood samples of bats n panguilins as dey r transmitters bt not getting affected by the disease
Please make a video on dengue,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.3182}",0.3182,Positive,Why is it called Novel
"It honestly spread so quickly Its like everywhere got hit at once

I remember my first time learning about it Somebody just mentioned that a new virus was spreading in china and i didnt care at all","{'neg': 0.067, 'neu': 0.787, 'pos': 0.146, 'compound': 0.4829}",0.4829,Positive,Youre voice is so calming 
"i was  when it started im  now
im happy its gone","{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.5719}",0.5719,Positive,You want to educate me in this coronavirus Do you think this is important Education I mean
Be careful everyone Stay safe and wear a mask My father got Covid  and he passed away so please be careful stay home and stay safe wash your hands after coming home from outside and before eating food and maintain social distance You all will get bored staying at home but you must do that to stay safe Yes it is hard to stop going outside but it is harder to stay alive if you get the virus If any of your loved ones have died of Covid pray to God and ask God to keep you and your family safe so that no one else can die But no worries this pandemic and the lockdown will go away one day and things will be back to normal again If you are alive and if you have recovered from Covid be thankful because many people have suffered and died Stay safe everyone,"{'neg': 0.17, 'neu': 0.596, 'pos': 0.234, 'compound': 0.8888}",0.8888,Positive,Well that answers my question on whether or not its droplet or airborne spreadthey simply dont know yet 
Ive had Covid two times before lol,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4215}",0.4215,Positive,Viruses do not jump species
"covid effects the respitory system causing a person to have a flulike symptomsSymptoms include

loss of taste and smell
fatigue
difficulty bresthing or shortness of breath
muscle or body aches
fever and chills
sore throat 
nauseavomiting 
diarrhea
runny nosecongestion","{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.8481}",-0.8481,Negative,Great 
Corona virus wasted and ruined my life for the past  years ,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.743}",-0.743,Negative,I think i know whats going to kill the Virus
This is so good,"{'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.5777}",0.5777,Positive,Yeah Listen to u talking Im feeling a bit sleepy
Thank goodness both me and my family didnt get coronavirus,"{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.6705}",0.6705,Positive,What kind of MD is she
Can you beilive this will be taught to are kids in schools,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Hello
The scary things in life,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.4939}",-0.4939,Negative,Imagine if diseases could fuse with another dangerous disease We would be totally fucked
scary video this will definitely scare all the kids away and I mean kids in kid bodies as well as kids in adult bodies ,"{'neg': 0.212, 'neu': 0.629, 'pos': 0.159, 'compound': -0.3818}",-0.3818,Negative,Hello maam can u tell that how much time does covid take to reproduce 
I had Covid  and I survived,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.5106}",0.5106,Positive,Im too afraid of coronavirus and I dont want to die but Im OK good luck with you guys
If u see this in  good job surviving Covid ,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.6249}",0.6249,Positive,Watching this on April nd Its amazing how little they knew upon making this video Wow
Lembro de assistir esse video nessa epoca,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,sudip das
"My grandma has passed away during the spread of coronavirus 
Everything has changed after the death of my grandma if Corona never exist then my grandma might be alive today ","{'neg': 0.113, 'neu': 0.812, 'pos': 0.075, 'compound': -0.3182}",-0.3182,Negative,Imagine if ppl are having their babies around this corona virus bc they wont be able to take their babies certain places like they wanted to do and getting them things they never had as a child that would be heartbreaking
Me who is stuck in my house for  a year,"{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.25}",-0.25,Negative,what is difference between covid and other virus
Thank you to tell this thing for dont sick thank you so much to help people but its sad for some died from coronavirus ,"{'neg': 0.31, 'neu': 0.527, 'pos': 0.163, 'compound': -0.7919}",-0.7919,Negative,Well this video aged well I mean she said the majority of the cases are in China and that was true when the video was recorded But now the US has the most cases
This is very pandemic situation Before years ago world people life goes on this very bad situation,"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.5849}",-0.5849,Negative,Pandemic what to do ADVICE OF DOCTORS What will the world be like after a pandemic Read What to do in quarantine I know And you
